date,description_raw,amount,true_category,true_anomaly,description_clean,merchant,month,day_of_week,day_of_month,cluster
2026-03-04,MCDONALDS F3812,8.45,Dining,0,mcdonalds f,mcdonalds,3,2,4,5
2026-03-04,STARBUCKS STORE 12931,4.59,Dining,0,starbucks store,starbucks,3,2,4,5
2026-03-05,AMAZON MARKETPLACE,31.95,Shopping,0,amazon marketplace,amazon marketplace,3,3,5,2
2026-03-05,HULU,14.81,Entertainment,0,hulu,hulu,3,3,5,0
2026-03-06,BP GAS STATION 2281,55.3,Fuel,0,bp gas station,bp,3,4,6,1
2026-03-06,DISNEY PLUS,24.83,Entertainment,0,disney plus,disney plus,3,4,6,0
2026-03-06,EBAY COMMERCE,93.2,Shopping,0,ebay commerce,ebay commerce,3,4,6,2
2026-03-06,TACO BELL 3982,5.41,Dining,0,taco bell,taco bell,3,4,6,5
2026-03-06,ETSY.COM,19.66,Shopping,0,etsy com,etsy,3,4,6,2
2026-03-06,TACO BELL 3982,11.79,Dining,0,taco bell,taco bell,3,4,6,5
2026-03-07,TARGET STORE 1192,44.81,Shopping,0,target store,target,3,5,7,1
2026-03-07,WHOLE FOODS MARKET,41.36,Groceries,0,whole foods market,whole foods,3,5,7,5
2026-03-08,MOBIL 29182,51.0,Fuel,0,mobil,mobil,3,6,8,3
2026-03-08,MOBIL 29182,70.98,Fuel,0,mobil,mobil,3,6,8,3
2026-03-08,CHIPOTLE 1432,17.67,Dining,0,chipotle,chipotle,3,6,8,5
2026-03-09,EXXON 57291,61.27,Fuel,0,exxon,exxon,3,0,9,3
2026-03-09,ETSY.COM,58.79,Shopping,0,etsy com,etsy,3,0,9,2
2026-03-10,BP GAS STATION 2281,43.59,Fuel,0,bp gas station,bp,3,1,10,1
2026-03-10,PANERA BREAD 2918,16.93,Dining,0,panera bread,panera bread,3,1,10,5
2026-03-11,COSTCO WHOLESALE,118.77,Groceries,0,costco wholesale,costco wholesale,3,2,11,2
2026-03-11,COSTCO WHOLESALE,97.19,Groceries,0,costco wholesale,costco wholesale,3,2,11,2
2026-03-11,APPLE MUSIC,9.68,Entertainment,0,apple music,apple music,3,2,11,4
2026-03-11,SPOTIFY USA,14.14,Entertainment,0,spotify usa,spotify,3,2,11,4
2026-03-11,EXXON 57291,34.46,Fuel,0,exxon,exxon,3,2,11,3
2026-03-12,COSTCO WHOLESALE,122.36,Groceries,0,costco wholesale,costco wholesale,3,3,12,2
2026-03-12,WHOLE FOODS MARKET,119.77,Groceries,0,whole foods market,whole foods,3,3,12,5
2026-03-13,SHOPRITE #441,89.38,Groceries,0,shoprite,shoprite,3,4,13,1
2026-03-13,MCDONALDS F3812,12.13,Dining,0,mcdonalds f,mcdonalds,3,4,13,5
2026-03-14,SPOTIFY USA,16.38,Entertainment,0,spotify usa,spotify,3,5,14,4
2026-03-14,STARBUCKS STORE 12931,5.45,Dining,0,starbucks store,starbucks,3,5,14,5
2026-03-15,AMZN MKTP US,16.41,Shopping,0,amzn mktp us,amazon,3,6,15,2
2026-03-15,TACO BELL 3982,13.08,Dining,0,taco bell,taco bell,3,6,15,5
2026-03-16,ETSY.COM,143.24,Shopping,1,etsy com,etsy,3,0,16,2
2026-03-16,TACO BELL 3982,9.19,Dining,0,taco bell,taco bell,3,0,16,5
2026-03-16,STARBUCKS STORE 12931,5.57,Dining,0,starbucks store,starbucks,3,0,16,5
2026-03-16,KROGER #912,94.48,Groceries,0,kroger,kroger,3,0,16,5
2026-03-17,STARBUCKS STORE 12931,5.77,Dining,0,starbucks store,starbucks,3,1,17,5
2026-03-17,ALDI #128,38.93,Groceries,0,aldi,aldi,3,1,17,3
2026-03-17,STARBUCKS STORE 12931,10.28,Dining,0,starbucks store,starbucks,3,1,17,5
2026-03-18,CHIPOTLE 1432,10.73,Dining,0,chipotle,chipotle,3,2,18,5
2026-03-18,CHIPOTLE 1432,8.51,Dining,0,chipotle,chipotle,3,2,18,5
2026-03-18,EBAY COMMERCE,95.51,Shopping,0,ebay commerce,ebay commerce,3,2,18,2
2026-03-19,CHEVRON 5812,67.21,Fuel,0,chevron,chevron,3,3,19,3
2026-03-19,TRADER JOES #551,28.84,Groceries,0,trader joes,trader joes,3,3,19,5
2026-03-19,STARBUCKS STORE 12931,10.45,Dining,0,starbucks store,starbucks,3,3,19,5
2026-03-19,COSTCO WHOLESALE,171.05,Groceries,0,costco wholesale,costco wholesale,3,3,19,2
2026-03-20,MCDONALDS F3812,124.76,Dining,1,mcdonalds f,mcdonalds,3,4,20,5
2026-03-21,KROGER #912,63.16,Groceries,0,kroger,kroger,3,5,21,5
2026-03-23,MCDONALDS F3812,15.84,Dining,0,mcdonalds f,mcdonalds,3,0,23,5
2026-03-24,ETSY.COM,85.32,Shopping,0,etsy com,etsy,3,1,24,2
2026-03-24,STARBUCKS STORE 12931,11.42,Dining,0,starbucks store,starbucks,3,1,24,5
2026-03-24,DUNKIN 349832,13.61,Dining,0,dunkin,dunkin,3,1,24,1
2026-03-25,SPEEDWAY 8912,58.06,Fuel,0,speedway,speedway,3,2,25,3
2026-03-25,TACO BELL 3982,13.6,Dining,0,taco bell,taco bell,3,2,25,5
2026-03-25,STARBUCKS STORE 12931,9.39,Dining,0,starbucks store,starbucks,3,2,25,5
2026-03-26,TARGET STORE 1192,76.9,Shopping,0,target store,target,3,3,26,1
2026-03-27,CHEVRON 5812,70.63,Fuel,0,chevron,chevron,3,4,27,3
2026-03-27,WHOLE FOODS MARKET,99.33,Groceries,0,whole foods market,whole foods,3,4,27,5
2026-03-27,BEST BUY 882,152.94,Shopping,0,best buy,best buy,3,4,27,2
2026-03-27,SHOPRITE #441,122.25,Groceries,0,shoprite,shoprite,3,4,27,1
2026-03-27,MAX STREAMING,10.46,Entertainment,0,max streaming,max streaming,3,4,27,0
2026-03-27,CHIPOTLE 1432,15.27,Dining,0,chipotle,chipotle,3,4,27,5
2026-03-27,COSTCO WHOLESALE,108.4,Groceries,0,costco wholesale,costco wholesale,3,4,27,2
2026-03-28,BP GAS STATION 2281,60.94,Fuel,0,bp gas station,bp,3,5,28,1
2026-03-28,TRADER JOES #551,75.87,Groceries,0,trader joes,trader joes,3,5,28,5
2026-03-28,PANERA BREAD 2918,17.85,Dining,0,panera bread,panera bread,3,5,28,5
2026-03-28,STARBUCKS STORE 12931,12.55,Dining,0,starbucks store,starbucks,3,5,28,5
2026-03-28,AMAZON MARKETPLACE,25.83,Shopping,0,amazon marketplace,amazon marketplace,3,5,28,2
2026-03-29,ALDI #128,32.61,Groceries,0,aldi,aldi,3,6,29,3
2026-03-29,KROGER #912,35.1,Groceries,0,kroger,kroger,3,6,29,5
2026-03-29,NETFLIX.COM,20.64,Entertainment,0,netflix com,netflix,3,6,29,0
2026-03-29,EXXON 57291,67.45,Fuel,0,exxon,exxon,3,6,29,3
2026-03-29,CHEVRON 5812,65.43,Fuel,0,chevron,chevron,3,6,29,3
2026-03-30,AMZN MKTP US,97.91,Shopping,0,amzn mktp us,amazon,3,0,30,2
2026-03-30,ALDI #128,68.7,Groceries,0,aldi,aldi,3,0,30,3
2026-03-30,AMAZON MARKETPLACE,69.9,Shopping,0,amazon marketplace,amazon marketplace,3,0,30,2
2026-03-30,AMAZON MARKETPLACE,60.73,Shopping,0,amazon marketplace,amazon marketplace,3,0,30,2
2026-03-31,STARBUCKS STORE 12931,6.67,Dining,0,starbucks store,starbucks,3,1,31,5
2026-03-31,TACO BELL 3982,34.96,Dining,1,taco bell,taco bell,3,1,31,5
2026-04-01,SPEEDWAY 8912,64.54,Fuel,0,speedway,speedway,4,2,1,3
2026-04-01,KROGER #912,83.54,Groceries,0,kroger,kroger,4,2,1,5
2026-04-02,DUNKIN 349832,4.9,Dining,0,dunkin,dunkin,4,3,2,1
2026-04-03,BP GAS STATION 2281,48.37,Fuel,0,bp gas station,bp,4,4,3,1
2026-04-03,MCDONALDS F3812,7.36,Dining,0,mcdonalds f,mcdonalds,4,4,3,5
2026-04-03,ETSY.COM,57.78,Shopping,0,etsy com,etsy,4,4,3,2
2026-04-03,APPLE MUSIC,13.04,Entertainment,0,apple music,apple music,4,4,3,4
2026-04-03,PANERA BREAD 2918,20.2,Dining,0,panera bread,panera bread,4,4,3,5
2026-04-03,TACO BELL 3982,15.33,Dining,0,taco bell,taco bell,4,4,3,5
2026-04-04,SPOTIFY USA,16.63,Entertainment,0,spotify usa,spotify,4,5,4,4
2026-04-04,BEST BUY 882,216.27,Shopping,0,best buy,best buy,4,5,4,2
2026-04-04,HULU,18.86,Entertainment,0,hulu,hulu,4,5,4,0
2026-04-04,COSTCO WHOLESALE,93.0,Groceries,0,costco wholesale,costco wholesale,4,5,4,2
2026-04-07,PANERA BREAD 2918,17.17,Dining,0,panera bread,panera bread,4,1,7,5
2026-04-07,ETSY.COM,76.47,Shopping,0,etsy com,etsy,4,1,7,2
2026-04-07,CHIPOTLE 1432,9.14,Dining,0,chipotle,chipotle,4,1,7,5
2026-04-08,WHOLE FOODS MARKET,54.11,Groceries,0,whole foods market,whole foods,4,2,8,5
2026-04-08,TACO BELL 3982,10.26,Dining,0,taco bell,taco bell,4,2,8,5
2026-04-08,ALDI #128,94.14,Groceries,0,aldi,aldi,4,2,8,3
2026-04-08,MCDONALDS F3812,11.13,Dining,0,mcdonalds f,mcdonalds,4,2,8,5
2026-04-09,BEST BUY 882,43.25,Shopping,0,best buy,best buy,4,3,9,2
2026-04-10,EBAY COMMERCE,117.91,Shopping,0,ebay commerce,ebay commerce,4,4,10,2
2026-04-10,TRADER JOES #551,83.29,Groceries,0,trader joes,trader joes,4,4,10,5
2026-04-11,NETFLIX.COM,17.71,Entertainment,0,netflix com,netflix,4,5,11,0
2026-04-11,COSTCO WHOLESALE,434.13,Groceries,1,costco wholesale,costco wholesale,4,5,11,2
2026-04-11,MOBIL 29182,58.84,Fuel,0,mobil,mobil,4,5,11,3
2026-04-11,EBAY COMMERCE,50.37,Shopping,0,ebay commerce,ebay commerce,4,5,11,2
2026-04-11,DUNKIN 349832,3.67,Dining,0,dunkin,dunkin,4,5,11,1
2026-04-12,TRADER JOES #551,36.14,Groceries,0,trader joes,trader joes,4,6,12,5
2026-04-13,AMZN MKTP US,118.94,Shopping,0,amzn mktp us,amazon,4,0,13,2
2026-04-13,DISNEY PLUS,20.16,Entertainment,0,disney plus,disney plus,4,0,13,0
2026-04-13,MAX STREAMING,16.68,Entertainment,0,max streaming,max streaming,4,0,13,0
2026-04-13,BEST BUY 882,177.65,Shopping,0,best buy,best buy,4,0,13,2
2026-04-13,CHIPOTLE 1432,23.59,Dining,0,chipotle,chipotle,4,0,13,5
2026-04-14,STARBUCKS STORE 12931,7.56,Dining,0,starbucks store,starbucks,4,1,14,5
2026-04-14,DUNKIN 349832,12.63,Dining,0,dunkin,dunkin,4,1,14,1
2026-04-14,AMAZON MARKETPLACE,98.99,Shopping,0,amazon marketplace,amazon marketplace,4,1,14,2
2026-04-15,HULU,19.03,Entertainment,0,hulu,hulu,4,2,15,0
2026-04-16,AMAZON MARKETPLACE,97.31,Shopping,0,amazon marketplace,amazon marketplace,4,3,16,2
2026-04-16,SPOTIFY USA,13.74,Entertainment,0,spotify usa,spotify,4,3,16,4
2026-04-16,WHOLE FOODS MARKET,30.18,Groceries,0,whole foods market,whole foods,4,3,16,5
2026-04-16,DUNKIN 349832,7.95,Dining,0,dunkin,dunkin,4,3,16,1
2026-04-16,EBAY COMMERCE,55.02,Shopping,0,ebay commerce,ebay commerce,4,3,16,2
2026-04-17,SHOPRITE #441,46.25,Groceries,0,shoprite,shoprite,4,4,17,1
2026-04-17,AMZN MKTP US,66.6,Shopping,0,amzn mktp us,amazon,4,4,17,2
2026-04-17,COSTCO WHOLESALE,49.36,Groceries,0,costco wholesale,costco wholesale,4,4,17,2
2026-04-18,CHIPOTLE 1432,18.53,Dining,0,chipotle,chipotle,4,5,18,5
2026-04-18,CHIPOTLE 1432,10.99,Dining,0,chipotle,chipotle,4,5,18,5
2026-04-19,CHEVRON 5812,58.23,Fuel,0,chevron,chevron,4,6,19,3
2026-04-19,COSTCO WHOLESALE,45.02,Groceries,0,costco wholesale,costco wholesale,4,6,19,2
2026-04-19,SPOTIFY USA,16.26,Entertainment,0,spotify usa,spotify,4,6,19,4
2026-04-19,TRADER JOES #551,78.82,Groceries,0,trader joes,trader joes,4,6,19,5
2026-04-20,CHEVRON 5812,68.64,Fuel,0,chevron,chevron,4,0,20,3
2026-04-20,SPEEDWAY 8912,62.47,Fuel,0,speedway,speedway,4,0,20,3
2026-04-20,MAX STREAMING,11.98,Entertainment,0,max streaming,max streaming,4,0,20,0
2026-04-21,HULU,24.04,Entertainment,0,hulu,hulu,4,1,21,0
2026-04-21,APPLE MUSIC,8.26,Entertainment,0,apple music,apple music,4,1,21,4
2026-04-22,MOBIL 29182,71.88,Fuel,0,mobil,mobil,4,2,22,3
2026-04-22,MOBIL 29182,42.25,Fuel,0,mobil,mobil,4,2,22,3
2026-04-23,WHOLE FOODS MARKET,92.47,Groceries,0,whole foods market,whole foods,4,3,23,5
2026-04-24,MOBIL 29182,59.7,Fuel,0,mobil,mobil,4,4,24,3
2026-04-24,BEST BUY 882,200.34,Shopping,0,best buy,best buy,4,4,24,2
2026-04-25,WHOLE FOODS MARKET,30.6,Groceries,0,whole foods market,whole foods,4,5,25,5
2026-04-25,DISNEY PLUS,20.35,Entertainment,0,disney plus,disney plus,4,5,25,0
2026-04-25,NETFLIX.COM,19.0,Entertainment,0,netflix com,netflix,4,5,25,0
2026-04-26,CHEVRON 5812,55.44,Fuel,0,chevron,chevron,4,6,26,3
2026-04-26,SHOPRITE #441,53.0,Groceries,0,shoprite,shoprite,4,6,26,1
2026-04-26,TRADER JOES #551,167.99,Groceries,1,trader joes,trader joes,4,6,26,5
2026-04-26,BEST BUY 882,65.25,Shopping,0,best buy,best buy,4,6,26,2
2026-04-27,NETFLIX.COM,24.5,Entertainment,0,netflix com,netflix,4,0,27,0
2026-04-27,COSTCO WHOLESALE,179.26,Groceries,0,costco wholesale,costco wholesale,4,0,27,2
2026-04-27,AMAZON MARKETPLACE,16.64,Shopping,0,amazon marketplace,amazon marketplace,4,0,27,2
2026-04-27,PANERA BREAD 2918,11.86,Dining,0,panera bread,panera bread,4,0,27,5
2026-04-28,BEST BUY 882,149.81,Shopping,0,best buy,best buy,4,1,28,2
2026-04-28,MCDONALDS F3812,11.84,Dining,0,mcdonalds f,mcdonalds,4,1,28,5
2026-04-29,HULU,13.9,Entertainment,0,hulu,hulu,4,2,29,0
2026-04-30,WHOLE FOODS MARKET,88.27,Groceries,0,whole foods market,whole foods,4,3,30,5
2026-04-30,TARGET STORE 1192,30.64,Shopping,0,target store,target,4,3,30,1
2026-04-30,MAX STREAMING,11.26,Entertainment,0,max streaming,max streaming,4,3,30,0
2026-04-30,CHEVRON 5812,56.98,Fuel,0,chevron,chevron,4,3,30,3
2026-04-30,WHOLE FOODS MARKET,66.64,Groceries,0,whole foods market,whole foods,4,3,30,5
2026-05-01,ALDI #128,62.51,Groceries,0,aldi,aldi,5,4,1,3
2026-05-02,COSTCO WHOLESALE,162.5,Groceries,0,costco wholesale,costco wholesale,5,5,2,2
2026-05-02,SPOTIFY USA,16.86,Entertainment,0,spotify usa,spotify,5,5,2,4
2026-05-02,TARGET STORE 1192,34.43,Shopping,0,target store,target,5,5,2,1
2026-05-02,SHELL OIL 88321,63.76,Fuel,0,shell oil,shell,5,5,2,1
2026-05-03,PANERA BREAD 2918,24.86,Dining,0,panera bread,panera bread,5,6,3,5
2026-05-03,MCDONALDS F3812,11.66,Dining,0,mcdonalds f,mcdonalds,5,6,3,5
2026-05-04,COSTCO WHOLESALE,143.14,Groceries,0,costco wholesale,costco wholesale,5,0,4,2
2026-05-05,ALDI #128,60.66,Groceries,0,aldi,aldi,5,1,5,3
2026-05-05,TRADER JOES #551,88.05,Groceries,0,trader joes,trader joes,5,1,5,5
2026-05-06,KROGER #912,106.39,Groceries,0,kroger,kroger,5,2,6,5
2026-05-06,ETSY.COM,99.7,Shopping,0,etsy com,etsy,5,2,6,2
2026-05-08,TARGET STORE 1192,98.94,Shopping,0,target store,target,5,4,8,1
2026-05-08,AMAZON MARKETPLACE,78.86,Shopping,0,amazon marketplace,amazon marketplace,5,4,8,2
2026-05-08,PANERA BREAD 2918,23.57,Dining,0,panera bread,panera bread,5,4,8,5
2026-05-09,HULU,23.48,Entertainment,0,hulu,hulu,5,5,9,0
2026-05-11,STARBUCKS STORE 12931,12.82,Dining,0,starbucks store,starbucks,5,0,11,5
2026-05-11,WHOLE FOODS MARKET,40.67,Groceries,0,whole foods market,whole foods,5,0,11,5
2026-05-11,CHIPOTLE 1432,9.08,Dining,0,chipotle,chipotle,5,0,11,5
2026-05-11,MAX STREAMING,22.43,Entertainment,0,max streaming,max streaming,5,0,11,0
2026-05-11,ALDI #128,72.33,Groceries,0,aldi,aldi,5,0,11,3
2026-05-12,EBAY COMMERCE,127.47,Shopping,0,ebay commerce,ebay commerce,5,1,12,2
2026-05-13,COSTCO WHOLESALE,77.85,Groceries,0,costco wholesale,costco wholesale,5,2,13,2
2026-05-13,CHIPOTLE 1432,17.73,Dining,0,chipotle,chipotle,5,2,13,5
2026-05-13,COSTCO WHOLESALE,140.77,Groceries,0,costco wholesale,costco wholesale,5,2,13,2
2026-05-14,MOBIL 29182,64.13,Fuel,0,mobil,mobil,5,3,14,3
2026-05-15,AMZN MKTP US,98.68,Shopping,0,amzn mktp us,amazon,5,4,15,2
2026-05-15,APPLE MUSIC,9.74,Entertainment,0,apple music,apple music,5,4,15,4
2026-05-16,MOBIL 29182,38.99,Fuel,0,mobil,mobil,5,5,16,3
2026-05-16,EBAY COMMERCE,10.65,Shopping,0,ebay commerce,ebay commerce,5,5,16,2
2026-05-17,MCDONALDS F3812,8.74,Dining,0,mcdonalds f,mcdonalds,5,6,17,5
2026-05-17,TARGET STORE 1192,114.24,Shopping,0,target store,target,5,6,17,1
2026-05-17,KROGER #912,42.81,Groceries,0,kroger,kroger,5,6,17,5
2026-05-17,AMAZON MARKETPLACE,103.53,Shopping,0,amazon marketplace,amazon marketplace,5,6,17,2
2026-05-18,PANERA BREAD 2918,14.75,Dining,0,panera bread,panera bread,5,0,18,5
2026-05-18,SHELL OIL 88321,59.4,Fuel,0,shell oil,shell,5,0,18,1
2026-05-18,MCDONALDS F3812,8.05,Dining,0,mcdonalds f,mcdonalds,5,0,18,5
2026-05-18,TARGET STORE 1192,120.65,Shopping,0,target store,target,5,0,18,1
2026-05-18,AMZN MKTP US,49.45,Shopping,0,amzn mktp us,amazon,5,0,18,2
2026-05-18,SPOTIFY USA,18.49,Entertainment,0,spotify usa,spotify,5,0,18,4
